module,type,name,res_id,src,value
account,view,account.payment.term.line,0,  Valuation: Percent,  Avaliação: Percentual
account,view,account.payment.term.line,0,  Value amount: 0.02,"  Quantia de valor: 0,02"
account,view,account.payment.term.line,0,  Value amount: n.a,  Valor total: n.a
account,help,"account.invoice,state",0," * The 'Draft' state is used when a user is encoding a new and unconfirmed Invoice.
* The 'Pro-forma' when invoice is in Pro-forma state,invoice does not have an invoice number.
* The 'Open' state is used when user create invoice,a invoice number is generated.Its in open state till user does not pay invoice.
* The 'Paid' state is set automatically when the invoice is paid. Its related journal entries may or may not be reconciled.
* The 'Cancelled' state is used when user cancel invoice."," * 'Provisório' é usada quando um usuário está criando uma fatura nova e sem confirmação.
* 'Pro-forma' quando uma fatura está em Pro-forma ela não possui um código de fatura.
* 'Aberto' é quando um usuário cria uma fatura, um número de fatura é gerado. Ficará em Aberto enquanto o usuário não pagar a fatura
* 'Pago' é definido automaticamente quando a fatura for paga. Suas entradas nos diários podem ou não ser reconciliadas.
* 'Cancelado' é usado quando o usuário cancela a fatura."
account,field,"account.chart.template,code_digits",0,# of Digits,# de dígitos
account,field,"wizard.multi.charts.accounts,code_digits",0,# of Digits,# de dígitos
account,view,account.entries.report,0,# of Entries ,# de Entradas
account,field,"account.entries.report,nbr",0,# of Items,# de Itens
account,view,account.invoice.report,0,# of Lines,# de Linhas
account,field,"account.invoice.report,nbr",0,# of Lines,# de Linhas
account,view,account.entries.report,0,# of Products Qty ,# de Quant. de Produtos
account,field,"account.move.line.reconcile,trans_nbr",0,# of Transaction,# da Transação
account,field,"analytic.entries.report,nbr",0,#Entries,#Entradas
account,model,"email.template,subject",account.email_template_edi_invoice,${object.company_id.name} Invoice (Ref ${object.number or 'n/a' }),${object.company_id.name} Fatura (Ref ${object.number ou 'n/a' })
account,report,account.partner.balance,0,(Account/Partner) Name,Nome (Conta/Parceiro)
account,view,account.chart,0,(If you do not select Fiscal year it will take all open fiscal years),(Se você não selecionar o ano fiscal serão considerados todos os anos fiscais em aberto)
account,view,account.tax.chart,0,(If you do not select period it will take all open periods),"(Se você não selecionar um período, irá selecionar todos os períodos abertos)"
account,view,account.state.open,0,(Invoice should be unreconciled if you want to open it),(Fatura deve ser desconciliada se você quiser abri-la)
account,view,account.analytic.chart,0,(Keep empty to open the current situation),(Deixe em branco para abrir a situação atual)
account,view,project.account.analytic.line,0,(Keep empty to open the current situation),(Deixe em branco para abrir a situação atual)
account,view,account.invoice,0,(keep empty to use the current period),(Deixe em branco para usar o período atual)
account,report,account.analytic.account.journal,0,-,-
account,report,account.third_party_ledger,0,-,-
account,report,account.third_party_ledger_other,0,-,-
account,report,account.overdue,0,.,.
account,selection,"account.account.type,report_type",0,/,/
account,selection,"account.automatic.reconcile,power",0,2,2
account,selection,"account.automatic.reconcile,power",0,3,3
account,selection,"account.installer,period",0,3 Monthly,Trimestral
account,model,"account.payment.term,name",account.account_payment_term,30 Days End of Month,30 Dias Fim do Mês
account,model,"account.payment.term,note",account.account_payment_term,30 Days End of Month,30 Dias Fim do Mês
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,30 Dias Líquidos
account,model,"account.payment.term,note",account.account_payment_term_net,30 Net Days,30 Dias Líquidos
account,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End 30 Days,Avançado 30%  final 30 dias
account,model,"account.payment.term,note",account.account_payment_term_advance,30% Advance End 30 Days,Avançado 30%  final 30 dias
account,selection,"account.automatic.reconcile,power",0,4,4
account,report,account.general.journal,0,:,:
account,xsl,account.transfer,0,:,:
account,model,"ir.actions.act_window,help",account.action_view_bank_statement_tree,"A Cash Register allows you to manage cash entries in your cash journals. This feature provides an easy way to follow up cash payments on a daily basis. You can enter the coins that are in your cash box, and then post entries when money comes in or goes out of the cash box.","Uma Caixa Registradora permite que você gerencie os lançamentos de caixa no seu diário de caixa. Este recurso fornece uma forma fácil de acompanhar os pagamentos em caixa diariamente. Você pode lançar o fundo de caixa do seu caixa físico e depois, fazer lançamentos de entrada ou saída do caixa."
account,model,"ir.model,name",account.model_temp_range,A Temporary table used for Dashboard view,Uma tabela temporária usada para a visão do Painel
account,model,"ir.actions.act_window,help",account.action_bank_statement_tree,"A bank statement is a summary of all financial transactions occurring over a given period of time on a deposit account, a credit card or any other type of financial account. The starting balance will be proposed automatically and the closing balance is to be found on your statement. When you are in the Payment column of a line, you can press F1 to open the reconciliation form.","Um extrato bancário é um resumo de todas as transações financeiras que ocorrem durante um determinado período de tempo em uma conta de depósito, cartão de crédito ou qualquer outro tipo de conta financeira. O saldo inicial será proposto automaticamente e o saldo final pode ser encontrado em seu extrato. Quando você está na coluna do pagamento de uma linha, você pode pressionar F1 para abrir o formulário de reconciliação."
account,model,"ir.actions.act_window,help",account.action_move_journal_line,"A journal entry consists of several journal items, each of which is either a debit or a credit transaction. OpenERP automatically creates one journal entry per accounting document: invoice, refund, supplier payment, bank statements, etc.","Uma entrada do livro consiste em vários itens do livro, cada um dos quais é, um débito ou de uma operação de crédito. O OpenERP cria automaticamente uma entrada por documento contábil: fatura, reembolso, pagamento a fornecedores, extratos bancários, etc."
account,model,"ir.actions.act_window,help",account.action_account_period_tree,"A period is a fiscal period of time during which accounting entries should be recorded for accounting related activities. Monthly period is the norm but depending on your countries or company needs, you could also have quarterly periods. Closing a period will make it impossible to record new accounting entries, all new entries should then be made on the following open period. Close a period when you do not want to record new entries and want to lock this period for tax related calculation.","Um período é um período fiscal em que a contabilidade deve ser registrada para atividades relacionadas. Períodos mensais costumam ser o padrão, mas dependendo do seu pais ou necessidades da empresa, você também pode definir períodos trimestrais. Após fechar um período é impossível adicionar novas entradas, todas as novas entradas deverão ser feitas no período seguinte. Feche um período quando você não desejar mais gravar novas entradas e quer bloquear o período para o cálculo de impostos"
account,model,"ir.actions.act_window,help",account.action_subscription_form,"A recurring entry is a miscellaneous entry that occurs on a recurrent basis from a specific date, i.e. corresponding to the signature of a contract or an agreement with a customer or a supplier. With Define Recurring Entries, you can create such entries to automate the postings in the system.","Uma entrada recorrente é um lançamento que ocorre periodicamente baseado em uma data específica. Ex: De acordo com a assinatura de um contrato ou um acordo com um cliente ou um fornecedor, com a Definição de Lançamentos Recorrentes, você pode criar este tipo de lançamento para automatizar a postagem no sistema."
account,model,"process.transition,note",account.process_transition_invoicemanually0,A statement with manual entries becomes a draft statement.,Um extrato com lançamentos manuais se torna um extrato provisório.
account,report,account.central.journal,0,A/C No.,No. A/C
account,view,account.entries.report,0,Acc.Type,Tipo de Conta
account,view,account.account,0,Account,Conta
account,report,account.account.balance,0,Account,Conta
account,view,account.analytic.line,0,Account,Conta
account,field,"account.automatic.reconcile,writeoff_acc_id",0,Account,Conta
account,field,"account.bank.statement.line,account_id",0,Account,Conta
account,view,account.entries.report,0,Account,Conta
account,field,"account.entries.report,account_id",0,Account,Conta
account,field,"account.invoice,account_id",0,Account,Conta
account,field,"account.invoice.line,account_id",0,Account,Conta
account,view,account.invoice.report,0,Account,Conta
account,field,"account.invoice.report,account_id",0,Account,Conta
account,field,"account.journal,account_control_ids",0,Account,Conta
account,report,account.journal.period.print,0,Account,Conta
account,report,account.journal.period.print.sale.purchase,0,Account,Conta
account,field,"account.model.line,account_id",0,Account,Conta
account,view,account.move.line,0,Account,Conta
account,field,"account.move.line,account_id",0,Account,Conta
account,field,"account.move.line.reconcile.select,account_id",0,Account,Conta
account,field,"account.move.line.unreconcile.select,account_id",0,Account,Conta
account,report,account.third_party_ledger,0,Account,Conta
account,report,account.third_party_ledger_other,0,Account,Conta
account,view,analytic.entries.report,0,Account,Conta
account,field,"analytic.entries.report,account_id",0,Account,Conta
account,model,"ir.model,name",account.model_account_account,Account,Conta
account,field,"report.account.sales,account_id",0,Account,Conta
account,model,"ir.model,name",account.model_account_aged_trial_balance,Account Aged Trial balance Report,Relatório dos Balancetes das Contas Antigas
account,model,"ir.model,name",account.model_account_analytic_balance,Account Analytic Balance,Balanço de Conta Analítica
account,model,"ir.model,name",account.model_account_analytic_chart,Account Analytic Chart,Plano de Contas Analíticas
account,model,"ir.model,name",account.model_account_analytic_cost_ledger,Account Analytic Cost Ledger,Conta Analítica Livro-Razão de Custo
account,model,"ir.model,name",account.model_account_analytic_cost_ledger_journal_report,Account Analytic Cost Ledger For Journal Report,Livro-razão da Conta Custo Analítico para o Relatório de Diários
account,model,"ir.model,name",account.model_account_analytic_inverted_balance,Account Analytic Inverted Balance,Balanço invertido da conta analítica
account,model,"ir.model,name",account.model_account_analytic_journal_report,Account Analytic Journal,Diário de Conta Analítica
account,model,"ir.actions.act_window,name",account.action_account_automatic_reconcile,Account Automatic Reconcile,Reconciliação Automática de Contas
account,field,"account.tax,base_code_id",0,Account Base Code,Código Base da Conta
account,view,board.board,0,Account Board,Painel Contábil
account,model,"ir.actions.act_window,name",account.action_account_central_journal,Account Central Journal,Diário de Contas Central
account,model,"ir.model,name",account.model_account_central_journal,Account Central Journal,Diário de Contas Central
account,model,"ir.model,name",account.model_account_common_account_report,Account Common Account Report,Relatório de Contas da Contabilidade Geral
account,model,"ir.model,name",account.model_account_common_journal_report,Account Common Journal Report,Relatório de Diário de Conta Comum
account,model,"ir.model,name",account.model_account_common_partner_report,Account Common Partner Report,Relatório de Parceiros de Conta Comum
account,model,"ir.model,name",account.model_account_common_report,Account Common Report,Relatório de Conta Comum
account,view,account.analytic.account,0,Account Data,Dados da conta
account,field,"account.fiscal.position.account,account_dest_id",0,Account Destination,Destino da conta
account,field,"account.fiscal.position.account.template,account_dest_id",0,Account Destination,Destino da conta
account,model,"ir.model,name",account.model_account_move,Account Entry,Lançamento Contábil
account,model,"ir.actions.act_window,name",account.action_account_general_journal,Account General Journal,Diário de Contas Gerais
account,model,"ir.model,name",account.model_account_general_journal,Account General Journal,Diário de Contas Gerais
account,view,account.journal,0,Account Journal,Diário de Conta
account,field,"res.partner.bank,journal_id",0,Account Journal,Diário de Conta
account,model,"ir.model,name",account.model_account_journal_select,Account Journal Select,Selecionar Diário Contábil
account,field,"account.invoice.report,account_line_id",0,Account Line,Linha da Conta
account,view,account.fiscal.position,0,Account Mapping,Mapeamento de Contas
account,field,"account.fiscal.position,account_ids",0,Account Mapping,Mapeamento de Contas
account,field,"account.fiscal.position.template,account_ids",0,Account Mapping,Mapeamento de Contas
account,field,"account.use.model,model",0,Account Model,Modelo de Conta
account,model,"ir.model,name",account.model_account_model,Account Model,Modelo de Conta
account,model,"ir.model,name",account.model_account_model_line,Account Model Entries,Modelo de Entrada de Contas
account,report,account.analytic.account.balance,0,Account Name,Nome da Conta
account,report,account.central.journal,0,Account Name,Nome da Conta
account,field,"account.bank.accounts.wizard,acc_name",0,Account Name.,Nome da Conta.
account,model,"ir.model,name",account.model_account_partner_ledger,Account Partner Ledger,Livro-razão Conta Parceiros
account,field,"res.partner,property_account_payable",0,Account Payable,Conta de Pagamento
account,model,"ir.actions.act_window,name",account.action_account_print_journal,Account Print Journal,Diário de Impressão de Contas
account,model,"ir.model,name",account.model_account_print_journal,Account Print Journal,Diário de Impressão de Contas
account,field,"res.partner,property_account_receivable",0,Account Receivable,Conta de Recebimento
account,model,"ir.model,name",account.model_account_move_reconcile,Account Reconciliation,Reconciliação da Conta
account,view,account.financial.report,0,Account Report,Extrato da Conta
account,field,"account.financial.report,children_ids",0,Account Report,Extrato da Conta
account,model,"ir.model,name",account.model_account_financial_report,Account Report,Extrato da Conta
account,field,"accounting.report,account_report_id",0,Account Reports,Relatórios de Conta
account,model,"ir.ui.menu,name",account.menu_account_financial_reports_tree,Account Reports,Relatórios de Conta
account,view,account.financial.report,0,Account Reports Hierarchy,Relatórios de Hierarquia da Conta
account,model,"ir.ui.menu,name",account.menu_account_report_tree_hierarchy,Account Reports Hierarchy,Relatórios de Hierarquia da Conta
account,field,"account.fiscal.position.account,account_src_id",0,Account Source,Conta de origem
account,field,"account.fiscal.position.account.template,account_src_id",0,Account Source,Conta de origem
account,model,"ir.actions.act_window,name",account.action_account_state_open,Account State Open,Contas Abertas
account,model,"ir.model,name",account.model_account_state_open,Account State Open,Contas Abertas
account,view,account.account,0,Account Statistics,Estatisticas da conta
account,view,account.bank.statement,0,Account Statistics,Estatisticas da conta
account,view,account.move,0,Account Statistics,Estatísticas da Conta
account,view,account.move.line,0,Account Statistics,Estatisticas da conta
account,model,"ir.model,name",account.model_account_subscription,Account Subscription,Conta de Assinatura
account,model,"ir.model,name",account.model_account_subscription_line,Account Subscription Line,linha da Conta de Inscrição
account,view,account.tax,0,Account Tax,Conta de Imposto
account,field,"account.tax,tax_code_id",0,Account Tax Code,Código da conta de impostos
account,view,account.tax.code,0,Account Tax Code,Código da conta de impostos
account,view,account.tax.code.template,0,Account Tax Code Template,Modelo de Código de Impostos da Conta
account,view,account.tax.template,0,Account Tax Template,Modelo de conta de impostos
account,view,account.account.template,0,Account Template,Modelo de Conta
account,model,"ir.actions.act_window,name",account.action_account_template_form,Account Templates,Modelos de Conta
account,model,"ir.ui.menu,name",account.menu_action_account_template_form,Account Templates,Modelos de Conta
account,report,account.aged_trial_balance,0,Account Total,Total da Conta
account,view,account.account,0,Account Type,Tipo de Conta
account,field,"account.account,user_type",0,Account Type,Tipo de Conta
account,view,account.account.template,0,Account Type,Tipo de Conta
account,field,"account.account.template,user_type",0,Account Type,Tipo de Conta
account,view,account.account.type,0,Account Type,Tipo de Conta
account,field,"account.account.type,name",0,Account Type,Tipo de Conta
account,field,"account.bank.accounts.wizard,account_type",0,Account Type,Tipo de Conta
account,field,"account.entries.report,user_type",0,Account Type,Tipo de Conta
account,selection,"account.financial.report,type",0,Account Type,Tipo de Conta
account,model,"ir.model,name",account.model_account_account_type,Account Type,Tipo de Conta
account,field,"report.account.receivable,type",0,Account Type,Tipo de Conta
account,field,"report.account_type.sales,user_type",0,Account Type,Tipo de Conta
account,help,"account.account,user_type",0,"Account Type is used for information purpose, to generate country-specific legal reports, and set the rules to close a fiscal year and generate opening entries.","Este tipo de conta é usada para fins de informação, para gerar relatórios legais específicos de cada país, e definir as regras para fechar um ano fiscal e gerar entradas de abertura."
account,field,"account.financial.report,account_type_ids",0,Account Types,Tipos de Conta
account,model,"ir.actions.act_window,name",account.action_account_type_form,Account Types,Tipos de Conta
account,model,"ir.ui.menu,name",account.menu_action_account_type_form,Account Types,Tipos de Conta
account,model,"ir.model,name",account.model_account_unreconcile,Account Unreconcile,Conta não Conciliada
account,model,"ir.model,name",account.model_account_unreconcile_reconcile,Account Unreconcile Reconcile,Reconciliar Conta Desconciliada
account,model,"ir.actions.act_window,name",account.action_account_vat_declaration,Account Vat Declaration,Conta de Declaração VAT
account,model,"ir.model,name",account.model_account_vat_declaration,Account Vat Declaration,Conta de Declaração VAT
account,model,"ir.actions.report.xml,name",account.account_account_balance_landscape,Account balance,Saldo da Conta
account,model,"ir.model,name",account.model_account_chart,Account chart,Plano de Conta
account,view,account.chart,0,Account charts,Plano de contas
account,field,"account.analytic.line,currency_id",0,Account currency,Moeda da conta
account,model,"ir.model,name",account.model_account_move_line_reconcile,Account move line reconcile,Reconciliar movimentação de linha de conta
account,model,"ir.model,name",account.model_account_move_line_reconcile_writeoff,Account move line reconcile (writeoff),Reconciliar linha de movimentação de conta (baixa)
account,report,account.analytic.account.journal,0,Account n°,Conta n°
account,model,"ir.model,name",account.model_account_period,Account period,Período da conta
account,model,"ir.model,name",account.model_account_tax_chart,Account tax chart,Plano de Impostos da Conta
account,view,account.tax.chart,0,Account tax charts,Plano de Impostos
account,field,"account.bank.statement,account_id",0,Account used in this journal,Conta usada neste Diário
account,model,"res.groups,name",account.group_account_user,Accountant,Contador
account,model,"process.transition,note",account.process_transition_validentries0,Accountant validates the accounting entries coming from the invoice.,O contador valida os lançamentos contábeis vindos da fatura.
